지역,매장명,현황,주소,매장서비스,전화번호
전남 장흥군,전남장흥점,영업중,전라남도 장흥군 장흥읍 북부로 18 .,,061-862-0119
인천 남구,인천주안역점,영업중,"인천광역시 미추홀구 주안로 105 1,2층 (주안동 130-10)",,032-425-1793
전남 무안군,남악신도시점,영업중,"전라남도 무안군 삼향읍 남악로 234 트리폴리앙 B동 1, 108호~109호 .",주차,061-282-8280
경남 양산시,양산원동점,영업중,경상남도 양산시 원동면 원동로 1429 .,주차,055-372-0268
경기 평택시,평택서재점,영업중,"경기도 평택시 서재로 26-24 1,2층 동삭동 711-14",흡연시설,031-651-2750
세종 세종시,세종어진점,영업중,"세종특별자치시 절재로 194 (어진동, 중앙타운) 133호,214호 .",주차,070-7766-1589
경남 거창군,(상)거창휴게소점,영업중,"경상남도 거창군 가조면 가조가야로 1523 (도리, 거창휴게소(상)) .",주차,055-943-0992
서울 서초구,남부터미널점,영업중,서울특별시 서초구 서초중앙로 52 (영진빌딩 1층) .,,02-584-9500
서울 강동구,굽은다리역점,영업중,"서울특별시 강동구 양재대로 1591 , 1층 (천호동 31-2)",24시간/주차,02-488-5077
경기 성남시 분당구,분당서현점,영업중,"경기도 성남시 분당구 황새울로 315, 1층 104 (대현빌딩) .",24시간/주차,031-781-6254
서울 광진구,광나루역점,영업중,"서울특별시 광진구 천호대로 808, 광장현대홈타운 제1202동 상가 1층 (광장동 580) 할리스",,02-444-0542
서울 노원구,노원문화의거리점,영업중,서울특별시 노원구 노해로81길 22-26 할리스,흡연시설,02-935-8231
경기 수원시 팔달구,수원역점,영업중,경기도 수원시 팔달구 향교로 6 (매산로1가),테라스/흡연시설,031-257-3313
